"Farþegar um Keflavíkurflugvöll eftir ríkisfangi og mánuðum 2002-2025"
"Mánuður";"Farþegar alls";"Ísland";"Útlendingar alls";"Austurríki";"Ástralía / Nýja-Sjáland";"Bandaríkin";"Belgía";"Bretland";"Danmörk";"Eistland / Lettland / Litháen";"Finnland";"Frakkland";"Holland";"Hong Kong";"Indland";"Írland";"Ísrael";"Ítalía";"Japan";"Kanada";"Kína";"Noregur";"Pólland";"Rússland";"Singapúr";"Spánn";"Suður-Kórea";"Sviss";"Svíþjóð";"Taívan";"Þýskaland";"Önnur þjóðerni"
"2020M01";159248;37643;121605;655;2628;17675;1185;30115;1896;1352;2084;5492;1805;1087;544;3115;118;2593;2885;2063;10092;1617;8308;335;223;1861;2258;1519;1443;1478;6510;8669
"2020M02";167496;33589;133907;1322;1694;17093;1650;39689;2248;4243;1045;9242;2562;1278;787;3186;82;2355;1568;2531;4797;2084;6919;611;422;2575;1807;1580;1530;1769;8134;9104
"2020M03";95486;14140;81346;223;1193;13517;905;22388;1934;5885;323;4756;1388;905;629;1752;71;1293;835;1934;1094;788;4856;606;359;1875;347;694;623;888;5903;3382
"2020M04";1262;338;924;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;393;..;..;..;..;..;..;..;..;531
"2020M05";1795;799;996;..;..;30;..;43;54;168;..;32;..;..;..;..;..;15;..;..;..;..;320;..;..;15;..;..;42;..;41;236
"2020M06";11253;5135;6118;83;8;128;65;140;882;703;104;238;165;4;22;18;..;94;2;10;22;218;470;28;8;55;10;291;130;2;1019;1199
"2020M07";59071;13355;45716;816;76;363;1209;1425;9971;997;398;2976;2100;20;5;76;10;927;15;106;106;2311;3188;141;10;499;15;3168;554;10;9241;4983
"2020M08";71729;7922;63807;1745;248;943;2671;4722;4920;571;248;4275;3754;50;149;223;17;7682;116;182;149;463;8832;157;50;3357;83;2258;496;25;10701;4720
"2020M09";15060;4885;10175;140;33;382;150;702;402;351;21;505;378;10;21;27;10;294;16;72;53;68;1893;39;4;341;4;328;238;12;2024;1657
"2020M10";9916;3924;5992;33;5;304;47;392;417;208;30;295;119;5;9;24;11;157;5;20;9;92;1608;17;2;260;6;71;105;5;486;1250
"2020M11";5356;1983;3373;19;16;285;40;156;207;276;19;132;89;..;12;16;8;72;9;25;14;33;821;16;2;81;6;39;58;2;121;799
"2020M12";11665;3516;8149;43;27;238;30;375;287;1357;46;245;84;3;11;26;4;103;20;11;44;57;2871;14;3;148;14;46;110;4;267;1661
"2021M01";10453;6089;4364;57;18;279;36;224;206;346;43;147;64;..;11;14;2;91;7;18;34;72;1224;20;4;102;7;47;150;2;407;732
"2021M02";5339;2342;2997;12;3;96;20;55;118;182;18;93;63;..;4;13;..;46;8;8;13;25;1201;17;3;60;3;66;56;5;239;570
"2021M03";7708;3121;4587;46;9;236;19;119;241;350;14;217;87;..;16;13;1;70;33;13;10;63;1282;14;..;83;3;57;101;6;598;886
"2021M04";8700;2912;5788;96;12;513;38;133;194;469;13;213;96;..;7;11;42;152;4;20;28;45;1493;53;1;170;5;110;120;..;722;1028
"2021M05";18746;4373;14373;154;48;7479;104;175;406;734;24;313;144;..;20;24;145;133;15;57;65;56;1314;41;11;301;24;168;116;5;934;1363
"2021M06";56136;13569;42567;324;111;21450;300;2249;837;1020;111;1784;305;5;5;82;938;953;39;174;48;247;3646;44;10;367;48;580;319;19;3201;3351
"2021M07";140968;31036;109932;1785;340;51260;1199;5731;2436;3871;38;4003;1463;28;94;142;2455;2162;123;359;170;897;11208;104;38;1124;57;1435;803;19;8630;7958
"2021M08";172418;20569;151849;3226;269;57556;2034;5826;5386;2070;206;8523;3092;90;242;117;5610;9500;269;1344;224;1237;6569;179;27;5431;233;3074;1577;9;14716;13213
"2021M09";137125;28892;108233;1299;274;30067;2956;6566;4275;1880;170;6513;3661;72;405;476;1951;6050;72;1625;574;1403;5835;333;78;4242;85;2212;1116;85;13921;10037
"2021M10";142694;39467;103227;722;421;32712;1180;10226;5436;1061;534;3766;3735;50;647;1174;339;4463;157;1965;515;1808;5336;295;38;4488;157;1343;967;220;9956;9516
"2021M11";109183;33727;75456;920;297;14282;2107;11030;2375;840;268;7025;2853;51;435;1905;51;3092;145;978;601;898;5439;167;29;1557;239;811;1543;14;7865;7639
"2021M12";97588;33270;64318;119;419;11163;401;12303;2329;2091;207;3963;1540;200;432;739;232;1334;250;739;3706;689;7494;94;56;1640;470;526;851;182;2586;7563
"2022M01";82864;15208;67656;306;289;14009;604;16083;1216;1978;158;2258;2441;79;350;1006;79;3535;254;604;1698;823;4288;184;88;1234;193;726;613;61;3859;8640
"2022M02";103815;27985;75830;628;288;10567;364;28842;1984;364;135;5278;2924;129;399;1685;88;886;217;393;1356;658;2994;82;112;1779;405;370;663;76;4808;7356
