"Month";"Total Estimated population (16-74 years)";"Total Labour Force";"Total Inactive";"Total Unemployed";"Total Employed";"Total At work in the reference week";"Total Activity rate";"Total Unemployment rate";"Total Employment rate";"Total Actual hours worked - old time-series";"Total Usual hours worked";"Total Actual hours worked";"Males Estimated population (16-74 years)";"Males Labour Force";"Males Inactive";"Males Unemployed";"Males Employed";"Males At work in the reference week";"Males Activity rate";"Males Unemployment rate";"Males Employment rate";"Males Actual hours worked - old time-series";"Males Usual hours worked";"Males Actual hours worked";"Females Estimated population (16-74 years)";"Females Labour Force";"Females Inactive";"Females Unemployed";"Females Employed";"Females At work in the reference week";"Females Activity rate";"Females Unemployment rate";"Females Employment rate";"Females Actual hours worked - old time-series";"Females Usual hours worked";"Females Actual hours worked";"16-24 years Estimated population (16-74 years)";"16-24 years Labour Force";"16-24 years Inactive";"16-24 years Unemployed";"16-24 years Employed";"16-24 years At work in the reference week";"16-24 years Activity rate";"16-24 years Unemployment rate";"16-24 years Employment rate";"16-24 years Actual hours worked - old time-series";"16-24 years Usual hours worked";"16-24 years Actual hours worked";"25-74 years Estimated population (16-74 years)";"25-74 years Labour Force";"25-74 years Inactive";"25-74 years Unemployed";"25-74 years Employed";"25-74 years At work in the reference week";"25-74 years Activity rate";"25-74 years Unemployment rate";"25-74 years Employment rate";"25-74 years Actual hours worked - old time-series";"25-74 years Usual hours worked";"25-74 years Actual hours worked"
"2003M01";196600;154300;42300;7900;146300;140000;78.5;5.1;74.4;38.3;40.2;..;98900;81500;17400;4800;76600;73600;82.4;5.9;77.5;43.2;46.0;..;97700;72800;24900;3100;69700;66400;74.5;4.3;71.3;32.8;33.8;..;36600;23600;13000;2700;20900;20800;64.5;11.4;57.1;28.5;28.4;..;160000;130700;29300;5200;125400;119200;81.7;4.0;78.4;40.0;42.1;..
"2003M02";196600;153900;42800;6200;147700;136700;78.3;4.0;75.1;42.8;40.8;..;98900;81300;17700;4000;77300;72900;82.2;4.9;78.2;48.4;46.5;..;97700;72600;25100;2200;70400;63800;74.3;3.0;72.1;36.4;34.4;..;36600;23600;13100;2800;20800;18900;64.5;11.9;56.8;30.4;28.4;..;160000;130300;29700;3400;126900;117800;81.4;2.6;79.3;44.8;42.8;..
"2003M03";196600;155300;41400;4600;150700;144300;79.0;3.0;76.7;42.2;41.3;..;98900;82100;16900;2800;79300;76500;83.0;3.4;80.2;47.9;47.1;..;97700;73200;24500;1800;71400;67800;74.9;2.5;73.1;35.8;35.0;..;36600;23800;12900;1000;22800;22000;65.0;4.2;62.3;34.5;32.8;..;160000;131500;28500;3600;127900;122300;82.2;2.7;79.9;43.6;42.9;..
"2003M04";197100;156900;40300;4200;152300;143300;79.6;2.7;77.3;38.8;41.4;..;99200;82900;16300;2200;80500;76700;83.6;2.7;81.1;43.7;46.8;..;97900;74000;24000;2000;71800;66600;75.6;2.7;73.3;33.2;35.4;..;36700;23300;13500;2200;20900;20000;63.5;9.4;56.9;29.3;30.0;..;160400;133600;26800;2000;131400;123300;83.3;1.5;81.9;40.4;43.3;..
"2003M05";197100;162800;34400;10300;152500;144400;82.6;6.3;77.4;43.3;42.4;..;99200;87800;11400;5600;82200;78300;88.5;6.4;82.9;48.4;47.5;..;97900;75000;23000;4700;70300;66100;76.6;6.3;71.8;37.3;36.3;..;36700;29700;7100;5900;23800;21700;80.9;19.9;64.9;35.8;36.1;..;160400;133100;27300;4400;128700;122700;83.0;3.3;80.2;44.7;43.5;..
"2003M06";197100;169600;27500;5000;164400;140200;86.0;2.9;83.4;43.5;43.9;..;99200;89600;9600;2500;87000;75600;90.3;2.8;87.7;48.4;49.4;..;97900;80000;17900;2500;77400;64600;81.7;3.1;79.1;37.9;37.6;..;36700;35100;1600;2400;32700;30800;95.6;6.8;89.1;42.8;42.6;..;160400;134500;25900;2600;131700;109400;83.9;1.9;82.1;43.7;44.2;..
"2003M07";197700;169200;28300;4500;164800;120100;85.6;2.7;83.4;44.3;43.4;..;99500;88200;11300;2800;85400;66200;88.6;3.2;85.8;48.3;48.8;..;98200;81000;17000;1700;79400;53900;82.5;2.1;80.9;39.3;37.5;..;36700;33900;2700;1200;32700;30000;92.4;3.5;89.1;44.0;42.5;..;161000;135300;25600;3300;132100;90100;84.0;2.4;82.0;44.3;43.6;..
"2003M08";197700;162600;35100;5800;156700;133500;82.2;3.6;79.3;42.2;42.9;..;99500;86900;12600;3000;83800;73300;87.3;3.5;84.2;46.1;48.2;..;98200;75700;22500;2800;72900;60200;77.1;3.7;74.2;37.3;36.8;..;36700;29700;7000;1400;28300;27100;80.9;4.7;77.1;39.7;40.0;..;161000;132900;28100;4400;128400;106400;82.5;3.3;79.8;42.8;43.5;..
"2003M09";197700;159100;38600;4000;155100;145300;80.5;2.5;78.5;42.6;40.8;..;99500;82500;17000;2500;80100;76400;82.9;3.0;80.5;48.2;46.5;..;98200;76600;21600;1500;75000;68900;78.0;2.0;76.4;36.4;34.7;..;36700;24600;12100;1800;22800;20800;67.0;7.3;62.1;31.4;30.7;..;161000;134500;26500;2200;132300;124500;83.5;1.6;82.2;44.5;42.5;..
"2003M10";197900;154300;43600;4200;150100;142400;78.0;2.7;75.8;43.0;41.5;..;99600;81300;18400;1900;79400;76700;81.6;2.3;79.7;49.2;47.5;..;98300;73000;25200;2300;70700;65700;74.3;3.2;71.9;35.7;34.9;..;36500;21800;14800;1700;20100;19500;59.7;7.8;55.1;31.7;31.1;..;161400;132500;28800;2500;130000;122900;82.1;1.9;80.5;44.8;43.1;..
