"Year";"ISCED level";"Age";"Total Total";"Total Males";"Total Females";"Reykjavík Total";"Reykjavík Males";"Reykjavík Females";"Capital region excluding Reykjavík Total";"Capital region excluding Reykjavík Males";"Capital region excluding Reykjavík Females";"Southwest Total";"Southwest Males";"Southwest Females";"West Total";"West Males";"West Females";"Westfjords Total";"Westfjords Males";"Westfjords Females";"Northwest Total";"Northwest Males";"Northwest Females";"Northeast Total";"Northeast Males";"Northeast Females";"East Total";"East Males";"East Females";"South Total";"South Males";"South Females";"Abroad Total";"Abroad Males";"Abroad Females"
"2014";"Second stage of tertiary education";"Total";519;198;321;321;124;197;97;33;64;5;5;0;5;1;4;0;0;0;9;4;5;30;12;18;3;1;2;14;2;12;35;16;19
"2014";"Second stage of tertiary education";"13 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"Second stage of tertiary education";"14 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"Second stage of tertiary education";"15 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"Second stage of tertiary education";"16 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"Second stage of tertiary education";"17 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"Second stage of tertiary education";"18 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"Second stage of tertiary education";"19 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"Second stage of tertiary education";"20 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"Second stage of tertiary education";"21 years";1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"Second stage of tertiary education";"22 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"Second stage of tertiary education";"23 years";1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"Second stage of tertiary education";"24 years";4;1;3;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0
"2014";"Second stage of tertiary education";"25 years";13;6;7;10;5;5;2;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"Second stage of tertiary education";"26 years";18;5;13;16;4;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0
"2014";"Second stage of tertiary education";"27 years";22;10;12;17;9;8;3;1;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1
"2014";"Second stage of tertiary education";"28 years";15;3;12;11;3;8;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1
"2014";"Second stage of tertiary education";"29 years";28;14;14;22;12;10;2;1;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1
"2014";"Second stage of tertiary education";"30 years";26;15;11;18;10;8;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;2;1;1
"2014";"Second stage of tertiary education";"31 years";31;13;18;21;9;12;5;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;3;2;1
"2014";"Second stage of tertiary education";"32 years";26;7;19;14;4;10;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;2;0;2;4;1;3
"2014";"Second stage of tertiary education";"33 years";27;16;11;18;11;7;4;2;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;2;1
"2014";"Second stage of tertiary education";"34 years";20;10;10;11;6;5;6;2;4;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;1;0;1
"2014";"Second stage of tertiary education";"35 years";18;10;8;11;7;4;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2
"2014";"Second stage of tertiary education";"36 years";19;8;11;8;4;4;4;0;4;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;6;4;2
"2014";"Second stage of tertiary education";"37 years";24;11;13;14;6;8;6;3;3;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;0;0;0;1;0;1
"2014";"Second stage of tertiary education";"38 years";16;5;11;13;3;10;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
