"Nýskráningar og gjaldþrot fyrirtækja eftir mánuðum, bálkum atvinnugreina og rekstrarform 2008-2025"

"Mánuður";"Atvinnugreinar";"Rekstrarform";"Fjöldi nýskráninga";"Fjöldi gjaldþrota"
"2025M12";"Alls";"Alls";235;48
"2025M11";"Alls";"Alls";270;77
"2025M10";"Alls";"Alls";274;126
"2025M09";"Alls";"Alls";279;86
"2025M08";"Alls";"Alls";230;14
"2025M07";"Alls";"Alls";297;16
"2025M06";"Alls";"Alls";265;58
"2025M05";"Alls";"Alls";321;173
"2025M04";"Alls";"Alls";258;70
"2025M03";"Alls";"Alls";298;78
"2025M02";"Alls";"Alls";289;123
"2025M01";"Alls";"Alls";334;96
"2024M12";"Alls";"Alls";261;56
"2024M11";"Alls";"Alls";257;122
"2024M10";"Alls";"Alls";268;77
"2024M09";"Alls";"Alls";264;50
"2024M08";"Alls";"Alls";275;7
"2024M07";"Alls";"Alls";276;8
"2024M06";"Alls";"Alls";270;24
"2024M05";"Alls";"Alls";299;62
"2024M04";"Alls";"Alls";296;86
"2024M03";"Alls";"Alls";283;121
"2024M02";"Alls";"Alls";277;114
"2024M01";"Alls";"Alls";350;124
"2023M12";"Alls";"Alls";255;54
"2023M11";"Alls";"Alls";314;109
"2023M10";"Alls";"Alls";273;91
"2023M09";"Alls";"Alls";306;44
"2023M08";"Alls";"Alls";302;5
"2023M07";"Alls";"Alls";244;26
"2023M06";"Alls";"Alls";325;149
"2023M05";"Alls";"Alls";331;169
"2023M04";"Alls";"Alls";260;150
"2023M03";"Alls";"Alls";291;174
"2023M02";"Alls";"Alls";308;146
"2023M01";"Alls";"Alls";308;104
"2022M12";"Alls";"Alls";237;48
"2022M11";"Alls";"Alls";304;43
"2022M10";"Alls";"Alls";253;34
"2022M09";"Alls";"Alls";283;19
"2022M08";"Alls";"Alls";315;1
"2022M07";"Alls";"Alls";267;12
"2022M06";"Alls";"Alls";254;33
"2022M05";"Alls";"Alls";320;24
"2022M04";"Alls";"Alls";268;31
"2022M03";"Alls";"Alls";303;53
"2022M02";"Alls";"Alls";307;29
"2022M01";"Alls";"Alls";310;59
"2021M12";"Alls";"Alls";278;27
"2021M11";"Alls";"Alls";307;36
"2021M10";"Alls";"Alls";260;68
"2021M09";"Alls";"Alls";279;102
"2021M08";"Alls";"Alls";255;5
"2021M07";"Alls";"Alls";279;45
"2021M06";"Alls";"Alls";283;151
"2021M05";"Alls";"Alls";298;110
"2021M04";"Alls";"Alls";307;120
"2021M03";"Alls";"Alls";382;150
"2021M02";"Alls";"Alls";316;107
"2021M01";"Alls";"Alls";325;32
"2020M12";"Alls";"Alls";285;30
"2020M11";"Alls";"Alls";241;48
"2020M10";"Alls";"Alls";260;43
"2020M09";"Alls";"Alls";292;39
"2020M08";"Alls";"Alls";231;0
"2020M07";"Alls";"Alls";225;52
"2020M06";"Alls";"Alls";249;100
"2020M05";"Alls";"Alls";197;42
"2020M04";"Alls";"Alls";151;92
"2020M03";"Alls";"Alls";229;122
"2020M02";"Alls";"Alls";226;119
"2020M01";"Alls";"Alls";201;77
"2019M12";"Alls";"Alls";167;58
"2019M11";"Alls";"Alls";214;70
"2019M10";"Alls";"Alls";211;140
"2019M09";"Alls";"Alls";144;66
"2019M08";"Alls";"Alls";174;24
"2019M07";"Alls";"Alls";199;13
"2019M06";"Alls";"Alls";201;83
"2019M05";"Alls";"Alls";255;72
"2019M04";"Alls";"Alls";203;84
"2019M03";"Alls";"Alls";257;60
"2019M02";"Alls";"Alls";249;89
"2019M01";"Alls";"Alls";260;48
"2018M12";"Alls";"Alls";202;81
"2018M11";"Alls";"Alls";217;116
"2018M10";"Alls";"Alls";224;74
"2018M09";"Alls";"Alls";177;39
"2018M08";"Alls";"Alls";183;31
"2018M07";"Alls";"Alls";205;9
"2018M06";"Alls";"Alls";212;59
"2018M05";"Alls";"Alls";253;150
"2018M04";"Alls";"Alls";207;130
"2018M03";"Alls";"Alls";258;131
"2018M02";"Alls";"Alls";223;69
"2018M01";"Alls";"Alls";235;127
"2017M12";"Alls";"Alls";256;90
"2017M11";"Alls";"Alls";200;118
"2017M10";"Alls";"Alls";206;65
"2017M09";"Alls";"Alls";162;57
"2017M08";"Alls";"Alls";229;16
"2017M07";"Alls";"Alls";203;32
"2017M06";"Alls";"Alls";273;77
"2017M05";"Alls";"Alls";296;21
"2017M04";"Alls";"Alls";211;72
"2017M03";"Alls";"Alls";298;59
"2017M02";"Alls";"Alls";283;71
"2017M01";"Alls";"Alls";268;71
"2016M12";"Alls";"Alls";224;30
"2016M11";"Alls";"Alls";254;102
"2016M10";"Alls";"Alls";188;102
"2016M09";"Alls";"Alls";269;59
"2016M08";"Alls";"Alls";224;16
"2016M07";"Alls";"Alls";176;43
"2016M06";"Alls";"Alls";304;107
"2016M05";"Alls";"Alls";297;116
"2016M04";"Alls";"Alls";254;126
"2016M03";"Alls";"Alls";298;128
"2016M02";"Alls";"Alls";285;129
"2016M01";"Alls";"Alls";251;59
"2015M12";"Alls";"Alls";249;17
"2015M11";"Alls";"Alls";246;34
"2015M10";"Alls";"Alls";203;37
"2015M09";"Alls";"Alls";217;49
"2015M08";"Alls";"Alls";174;11
"2015M07";"Alls";"Alls";207;26
"2015M06";"Alls";"Alls";226;52
"2015M05";"Alls";"Alls";240;64
"2015M04";"Alls";"Alls";209;66
"2015M03";"Alls";"Alls";261;81
"2015M02";"Alls";"Alls";218;65
"2015M01";"Alls";"Alls";228;84
"2014M12";"Alls";"Alls";214;48
"2014M11";"Alls";"Alls";176;82
"2014M10";"Alls";"Alls";210;94
"2014M09";"Alls";"Alls";230;58
"2014M08";"Alls";"Alls";131;6
"2014M07";"Alls";"Alls";223;53
"2014M06";"Alls";"Alls";220;73
"2014M05";"Alls";"Alls";188;68
"2014M04";"Alls";"Alls";212;83
"2014M03";"Alls";"Alls";201;66
"2014M02";"Alls";"Alls";213;96
"2014M01";"Alls";"Alls";204;64
"2013M12";"Alls";"Alls";199;56
"2013M11";"Alls";"Alls";178;75
"2013M10";"Alls";"Alls";219;117
"2013M09";"Alls";"Alls";159;78
"2013M08";"Alls";"Alls";168;10
"2013M07";"Alls";"Alls";186;48
"2013M06";"Alls";"Alls";197;71
"2013M05";"Alls";"Alls";219;105
"2013M04";"Alls";"Alls";200;126
"2013M03";"Alls";"Alls";189;85
"2013M02";"Alls";"Alls";186;83
"2013M01";"Alls";"Alls";228;62
"2012M12";"Alls";"Alls";204;132
"2012M11";"Alls";"Alls";160;65
"2012M10";"Alls";"Alls";185;112
"2012M09";"Alls";"Alls";163;127
"2012M08";"Alls";"Alls";154;47
"2012M07";"Alls";"Alls";167;43
"2012M06";"Alls";"Alls";221;51
"2012M05";"Alls";"Alls";199;112
"2012M04";"Alls";"Alls";171;53
"2012M03";"Alls";"Alls";186;157
"2012M02";"Alls";"Alls";198;104
"2012M01";"Alls";"Alls";191;86
"2011M12";"Alls";"Alls";79;133
"2011M11";"Alls";"Alls";199;122
"2011M10";"Alls";"Alls";174;191
"2011M09";"Alls";"Alls";186;167
"2011M08";"Alls";"Alls";133;11
"2011M07";"Alls";"Alls";141;97
"2011M06";"Alls";"Alls";178;138
"2011M05";"Alls";"Alls";171;174
"2011M04";"Alls";"Alls";175;85
"2011M03";"Alls";"Alls";227;213
"2011M02";"Alls";"Alls";160;127
"2011M01";"Alls";"Alls";169;93
"2010M12";"Alls";"Alls";191;102
"2010M11";"Alls";"Alls";150;101
"2010M10";"Alls";"Alls";157;94
"2010M09";"Alls";"Alls";151;56
"2010M08";"Alls";"Alls";135;19
"2010M07";"Alls";"Alls";138;50
"2010M06";"Alls";"Alls";192;96
"2010M05";"Alls";"Alls";192;95
"2010M04";"Alls";"Alls";174;66
"2010M03";"Alls";"Alls";224;104
"2010M02";"Alls";"Alls";238;82
"2010M01";"Alls";"Alls";267;100
"2009M12";"Alls";"Alls";303;79
"2009M11";"Alls";"Alls";221;79
"2009M10";"Alls";"Alls";270;108
"2009M09";"Alls";"Alls";198;86
"2009M08";"Alls";"Alls";196;12
"2009M07";"Alls";"Alls";225;34
"2009M06";"Alls";"Alls";252;94
"2009M05";"Alls";"Alls";229;66
"2009M04";"Alls";"Alls";203;85
"2009M03";"Alls";"Alls";246;100
"2009M02";"Alls";"Alls";254;86
"2009M01";"Alls";"Alls";233;73
"2008M12";"Alls";"Alls";233;75
"2008M11";"Alls";"Alls";204;71
"2008M10";"Alls";"Alls";224;78
